2020-02-16/16:35:37		 phising_08012020_120000.csv: Quotes added successfully!!
2020-02-16/17:27:46		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/09:14:22		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/09:35:07		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/09:40:30		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/09:45:15		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/09:47:01		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/09:47:31		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/09:54:30		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/09:55:30		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/09:57:07		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/09:58:09		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/09:58:35		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/09:59:34		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/10:00:47		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/10:08:16		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/10:10:43		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/10:12:33		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/10:13:55		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/10:17:40		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/10:22:41		 phising_08012020_120000.csv: Quotes added successfully!!
2021-02-10/10:23:46		 phising_08012020_120000.csv: Quotes added successfully!!
